impl,num_threads,i,grid_size,time
omp,1,1,1024,0.982054
omp,1,1,128,0.017051
omp,1,1,2048,3.944612
omp,1,1,256,0.064521
omp,1,1,32,0.001006
omp,1,1,4096,16.139316
omp,1,1,512,0.246674
omp,1,1,64,0.004022
omp,1,1,8,0.000061
omp,1,2,1024,1.009406
omp,1,2,128,0.016012
omp,1,2,2048,3.986368
omp,1,2,256,0.066288
omp,1,2,32,0.000978
omp,1,2,4096,16.225744
omp,1,2,512,0.247918
omp,1,2,64,0.003894
omp,1,2,8,0.000064
omp,1,3,1024,0.980802
omp,1,3,128,0.015980
omp,1,3,2048,3.932877
omp,1,3,256,0.065572
omp,1,3,32,0.000936
omp,1,3,4096,15.584959
omp,1,3,512,0.254617
omp,1,3,64,0.004002
omp,1,3,8,0.000062
omp,1,4,1024,1.010193
omp,1,4,128,0.015696
omp,1,4,2048,4.047342
omp,1,4,256,0.064952
omp,1,4,32,0.000937
omp,1,4,4096,16.439297
omp,1,4,512,0.250314
omp,1,4,64,0.003775
omp,1,4,8,0.000061
omp,1,5,1024,1.000444
omp,1,5,128,0.015524
omp,1,5,2048,4.009178
omp,1,5,256,0.061888
omp,1,5,32,0.000927
omp,1,5,4096,16.032920
omp,1,5,512,0.244756
omp,1,5,64,0.003782
omp,1,5,8,0.000063
omp,1,6,1024,0.969425
omp,1,6,128,0.015534
omp,1,6,2048,3.909829
omp,1,6,256,0.062284
omp,1,6,32,0.000916
omp,1,6,4096,16.015742
omp,1,6,512,0.249631
omp,1,6,64,0.003846
omp,1,6,8,0.000064
omp,1,7,1024,1.000797
omp,1,7,128,0.015480
omp,1,7,2048,4.008486
omp,1,7,256,0.062512
omp,1,7,32,0.000929
omp,1,7,4096,15.602288
omp,1,7,512,0.249879
omp,1,7,64,0.003713
omp,1,7,8,0.000063
omp,1,8,1024,1.019529
omp,1,8,128,0.015444
omp,1,8,2048,4.036724
omp,1,8,256,0.062766
omp,1,8,32,0.000990
omp,1,8,4096,16.028166
omp,1,8,512,0.250080
omp,1,8,64,0.003862
omp,1,8,8,0.000065
omp,1,9,1024,1.000724
omp,1,9,128,0.015508
omp,1,9,2048,4.019978
omp,1,9,256,0.062764
omp,1,9,32,0.000974
omp,1,9,4096,16.013545
omp,1,9,512,0.250280
omp,1,9,64,0.003776
omp,1,9,8,0.000061
omp,1,10,1024,0.978650
omp,1,10,128,0.015466
omp,1,10,2048,4.006462
omp,1,10,256,0.062866
omp,1,10,32,0.000916
omp,1,10,4096,16.060956
omp,1,10,512,0.252066
omp,1,10,64,0.003865
omp,1,10,8,0.000060
omp,1,11,1024,1.002567
omp,1,11,128,0.015334
omp,1,11,2048,4.010643
omp,1,11,256,0.061488
omp,1,11,32,0.000977
omp,1,11,4096,15.581790
omp,1,11,512,0.250042
omp,1,11,64,0.003721
omp,1,11,8,0.000065
omp,1,12,1024,1.002313
omp,1,12,128,0.015221
omp,1,12,2048,4.017050
omp,1,12,256,0.062172
omp,1,12,32,0.000917
omp,1,12,4096,16.029937
omp,1,12,512,0.251201
omp,1,12,64,0.003706
omp,1,12,8,0.000065
omp,1,13,1024,1.003821
omp,1,13,128,0.015253
omp,1,13,2048,3.908966
omp,1,13,256,0.063480
omp,1,13,32,0.000915
omp,1,13,4096,15.610446
omp,1,13,512,0.250253
omp,1,13,64,0.003687
omp,1,13,8,0.000063
omp,1,14,1024,0.975885
omp,1,14,128,0.015564
omp,1,14,2048,3.911751
omp,1,14,256,0.062727
omp,1,14,32,0.000886
omp,1,14,4096,16.026268
omp,1,14,512,0.250071
omp,1,14,64,0.003715
omp,1,14,8,0.000064
omp,1,15,1024,1.001126
omp,1,15,128,0.015527
omp,1,15,2048,4.013623
omp,1,15,256,0.062361
omp,1,15,32,0.000941
omp,1,15,4096,16.021438
omp,1,15,512,0.250104
omp,1,15,64,0.003779
omp,1,15,8,0.000065
omp,1,16,1024,0.972830
omp,1,16,128,0.015565
omp,1,16,2048,4.018284
omp,1,16,256,0.062599
omp,1,16,32,0.000927
omp,1,16,4096,16.025858
omp,1,16,512,0.249681
omp,1,16,64,0.003859
omp,1,16,8,0.000063
omp,1,17,1024,1.000427
omp,1,17,128,0.015337
omp,1,17,2048,4.016917
omp,1,17,256,0.062295
omp,1,17,32,0.000927
omp,1,17,4096,16.021825
omp,1,17,512,0.244806
omp,1,17,64,0.003814
omp,1,17,8,0.000064
omp,1,18,1024,0.975512
omp,1,18,128,0.015423
omp,1,18,2048,3.908917
omp,1,18,256,0.062394
omp,1,18,32,0.000928
omp,1,18,4096,15.544377
omp,1,18,512,0.250271
omp,1,18,64,0.003691
omp,1,18,8,0.000064
omp,1,19,1024,0.979424
omp,1,19,128,0.015006
omp,1,19,2048,3.992278
omp,1,19,256,0.063176
omp,1,19,32,0.000927
omp,1,19,4096,15.615143
omp,1,19,512,0.250231
omp,1,19,64,0.003760
omp,1,19,8,0.000061
omp,1,20,1024,1.000739
omp,1,20,128,0.015575
omp,1,20,2048,3.914710
omp,1,20,256,0.062956
omp,1,20,32,0.001022
omp,1,20,4096,16.024839
omp,1,20,512,0.245516
omp,1,20,64,0.003862
omp,1,20,8,0.000064
omp,1,21,1024,1.000356
omp,1,21,128,0.015310
omp,1,21,2048,4.026813
omp,1,21,256,0.061810
omp,1,21,32,0.000927
omp,1,21,4096,16.028130
omp,1,21,512,0.249905
omp,1,21,64,0.003774
omp,1,21,8,0.000063
omp,1,22,1024,0.971406
omp,1,22,128,0.015388
omp,1,22,2048,4.010745
omp,1,22,256,0.062874
omp,1,22,32,0.000945
omp,1,22,4096,15.556841
