n_processos,array_size,custom,iteration,time
1,1024,true,1,0.000000
1,1024,true,2,0.000000
1,1024,true,3,0.000000
1,1024,true,4,0.000000
1,1024,true,5,0.000000
1,1024,true,6,0.000000
1,1024,true,7,0.000000
1,1024,true,8,0.000000
1,1024,true,9,0.000000
1,1024,true,10,0.000000
1,1024,true,11,0.000003
1,1024,true,12,0.000000
1,1024,true,13,0.000000
1,1024,true,14,0.000000
1,1024,true,15,0.000000
1,1024,true,16,0.000000
1,1024,true,17,0.000000
1,1024,true,18,0.000000
1,1024,true,19,0.000000
1,1024,true,20,0.000000
1,1024,true,21,0.000000
1,1024,true,22,0.000000
1,1024,true,23,0.000000
1,1024,true,24,0.000000
1,1024,true,25,0.000003
1,1024,true,26,0.000000
1,1024,true,27,0.000000
1,1024,true,28,0.000000
1,1024,true,29,0.000000
1,1024,true,30,0.000000
2,1024,true,1,0.000025
2,1024,true,2,0.000021
2,1024,true,3,0.000022
2,1024,true,4,0.000017
2,1024,true,5,0.000022
2,1024,true,6,0.000019
2,1024,true,7,0.000018
2,1024,true,8,0.000026
2,1024,true,9,0.000020
2,1024,true,10,0.000021
2,1024,true,11,0.000021
2,1024,true,12,0.000020
2,1024,true,13,0.000022
2,1024,true,14,0.000021
2,1024,true,15,0.000022
2,1024,true,16,0.000024
2,1024,true,17,0.000021
2,1024,true,18,0.000019
2,1024,true,19,0.000021
2,1024,true,20,0.000017
2,1024,true,21,0.000020
2,1024,true,22,0.000019
2,1024,true,23,0.000020
2,1024,true,24,0.000022
2,1024,true,25,0.000017
2,1024,true,26,0.000023
2,1024,true,27,0.000022
2,1024,true,28,0.000022
2,1024,true,29,0.000018
2,1024,true,30,0.000021
4,1024,true,1,0.000034
4,1024,true,2,0.000040
4,1024,true,3,0.000032
4,1024,true,4,0.000038
4,1024,true,5,0.000033
4,1024,true,6,0.000051
4,1024,true,7,0.000034
4,1024,true,8,0.000041
4,1024,true,9,0.000033
4,1024,true,10,0.000035
4,1024,true,11,0.000035
4,1024,true,12,0.000033
4,1024,true,13,0.000036
4,1024,true,14,0.000035
4,1024,true,15,0.000034
4,1024,true,16,0.000032
4,1024,true,17,0.000036
4,1024,true,18,0.000042
4,1024,true,19,0.000033
4,1024,true,20,0.000033
4,1024,true,21,0.000049
4,1024,true,22,0.000032
4,1024,true,23,0.000037
4,1024,true,24,0.000032
4,1024,true,25,0.000036
4,1024,true,26,0.000042
4,1024,true,27,0.000032
4,1024,true,28,0.000032
4,1024,true,29,0.000038
4,1024,true,30,0.000037
8,1024,true,1,0.000088
8,1024,true,2,0.000083
8,1024,true,3,0.000094
8,1024,true,4,0.000089
8,1024,true,5,0.000103
8,1024,true,6,0.000087
8,1024,true,7,0.000090
8,1024,true,8,0.000082
8,1024,true,9,0.000090
8,1024,true,10,0.000085
8,1024,true,11,0.000096
8,1024,true,12,0.000091
8,1024,true,13,0.000087
8,1024,true,14,0.000094
8,1024,true,15,0.000091
8,1024,true,16,0.000095
8,1024,true,17,0.000095
8,1024,true,18,0.000093
8,1024,true,19,0.000087
8,1024,true,20,0.000101
8,1024,true,21,0.000098
8,1024,true,22,0.000088
8,1024,true,23,0.000093
8,1024,true,24,0.000092
8,1024,true,25,0.000087
8,1024,true,26,0.000095
8,1024,true,27,0.000085
8,1024,true,28,0.000082
8,1024,true,29,0.000093
8,1024,true,30,0.000093
16,1024,true,1,0.000299
16,1024,true,2,0.000283
16,1024,true,3,0.000248
16,1024,true,4,0.000232
16,1024,true,5,0.000261
16,1024,true,6,0.000235
16,1024,true,7,0.000272
16,1024,true,8,0.000238
16,1024,true,9,0.000353
16,1024,true,10,0.000248
16,1024,true,11,0.000280
16,1024,true,12,0.000350
16,1024,true,13,0.000272
16,1024,true,14,0.000248
16,1024,true,15,0.000241
16,1024,true,16,0.000255
16,1024,true,17,0.000288
16,1024,true,18,0.000218
16,1024,true,19,0.000232
16,1024,true,20,0.000253
16,1024,true,21,0.000275
16,1024,true,22,0.000232
16,1024,true,23,0.000226
16,1024,true,24,0.000239
16,1024,true,25,0.000242
16,1024,true,26,0.000251
16,1024,true,27,0.000291
16,1024,true,28,0.000284
16,1024,true,29,0.000230
16,1024,true,30,0.000263
32,1024,true,1,0.000892
32,1024,true,2,0.001423
32,1024,true,3,0.000905
32,1024,true,4,0.000941
32,1024,true,5,0.000697
32,1024,true,6,0.000821
32,1024,true,7,0.000751
32,1024,true,8,0.001872
32,1024,true,9,0.000992
32,1024,true,10,0.000745
32,1024,true,11,0.001479
32,1024,true,12,0.001142
32,1024,true,13,0.000805
32,1024,true,14,0.012400
32,1024,true,15,0.001122
32,1024,true,16,0.001245
32,1024,true,17,0.001801
32,1024,true,18,0.000943
32,1024,true,19,0.001179
32,1024,true,20,0.000720
32,1024,true,21,0.000783
32,1024,true,22,0.000711
32,1024,true,23,0.001147
32,1024,true,24,0.001100
32,1024,true,25,0.000633
32,1024,true,26,0.001086
32,1024,true,27,0.000979
32,1024,true,28,0.000705
32,1024,true,29,0.000784
32,1024,true,30,0.000919
1,2048,true,1,0.000000
1,2048,true,2,0.000003
1,2048,true,3,0.000000
1,2048,true,4,0.000000
1,2048,true,5,0.000003
1,2048,true,6,0.000003
1,2048,true,7,0.000000
1,2048,true,8,0.000000
1,2048,true,9,0.000000
1,2048,true,10,0.000000
1,2048,true,11,0.000003
1,2048,true,12,0.000000
1,2048,true,13,0.000000
1,2048,true,14,0.000000
1,2048,true,15,0.000000
1,2048,true,16,0.000000
1,2048,true,17,0.000000
1,2048,true,18,0.000000
1,2048,true,19,0.000003
1,2048,true,20,0.000000
1,2048,true,21,0.000003
1,2048,true,22,0.000000
1,2048,true,23,0.000003
1,2048,true,24,0.000000
1,2048,true,25,0.000000
1,2048,true,26,0.000000
1,2048,true,27,0.000003
1,2048,true,28,0.000000
1,2048,true,29,0.000000
1,2048,true,30,0.000000
2,2048,true,1,0.000020
2,2048,true,2,0.000025
2,2048,true,3,0.000023
2,2048,true,4,0.000025
2,2048,true,5,0.000025
2,2048,true,6,0.000025
2,2048,true,7,0.000025
2,2048,true,8,0.000020
2,2048,true,9,0.000020
2,2048,true,10,0.000022
2,2048,true,11,0.000022
2,2048,true,12,0.000020
2,2048,true,13,0.000024
2,2048,true,14,0.000022
2,2048,true,15,0.000026
2,2048,true,16,0.000024
2,2048,true,17,0.000025
2,2048,true,18,0.000022
2,2048,true,19,0.000021
2,2048,true,20,0.000024
2,2048,true,21,0.000023
2,2048,true,22,0.000019
2,2048,true,23,0.000025
2,2048,true,24,0.000026
2,2048,true,25,0.000022
2,2048,true,26,0.000024
2,2048,true,27,0.000025
2,2048,true,28,0.000021
2,2048,true,29,0.000023
2,2048,true,30,0.000020
4,2048,true,1,0.000040
4,2048,true,2,0.000042
4,2048,true,3,0.000042
4,2048,true,4,0.000043
4,2048,true,5,0.000042
4,2048,true,6,0.000043
4,2048,true,7,0.000048
4,2048,true,8,0.000039
4,2048,true,9,0.000045
4,2048,true,10,0.000043
4,2048,true,11,0.000043
4,2048,true,12,0.000047
4,2048,true,13,0.000044
4,2048,true,14,0.000044
4,2048,true,15,0.000042
4,2048,true,16,0.000040
4,2048,true,17,0.000041
4,2048,true,18,0.000048
4,2048,true,19,0.000038
4,2048,true,20,0.000039
4,2048,true,21,0.000044
4,2048,true,22,0.000041
4,2048,true,23,0.000043
4,2048,true,24,0.000046
4,2048,true,25,0.000037
4,2048,true,26,0.000038
4,2048,true,27,0.000046
4,2048,true,28,0.000044
4,2048,true,29,0.000046
4,2048,true,30,0.000043
8,2048,true,1,0.000103
8,2048,true,2,0.000100
8,2048,true,3,0.000099
8,2048,true,4,0.000107
8,2048,true,5,0.000105
8,2048,true,6,0.000113
8,2048,true,7,0.000107
8,2048,true,8,0.000105
8,2048,true,9,0.000111
8,2048,true,10,0.000343
8,2048,true,11,0.000109
8,2048,true,12,0.000108
8,2048,true,13,0.000101
8,2048,true,14,0.000100
8,2048,true,15,0.000103
8,2048,true,16,0.000106
8,2048,true,17,0.000109
8,2048,true,18,0.000106
8,2048,true,19,0.000105
8,2048,true,20,0.000108
8,2048,true,21,0.000104
8,2048,true,22,0.000097
8,2048,true,23,0.000106
8,2048,true,24,0.000101
8,2048,true,25,0.000104
8,2048,true,26,0.000103
8,2048,true,27,0.000101
8,2048,true,28,0.000108
8,2048,true,29,0.000113
8,2048,true,30,0.000105
16,2048,true,1,0.000268
16,2048,true,2,0.000304
16,2048,true,3,0.000282
16,2048,true,4,0.000310
16,2048,true,5,0.000288
16,2048,true,6,0.000258
16,2048,true,7,0.000288
16,2048,true,8,0.000263
16,2048,true,9,0.000272
16,2048,true,10,0.000401
16,2048,true,11,0.000289
16,2048,true,12,0.000284
16,2048,true,13,0.000315
